trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.1, 'e': 0.9864183553463477}",25,0,-126.94844289296594,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
166,False,"{'a': 0.1, 'e': 0.986253609833596}",35,0,-170.60677057643235,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
167,False,"{'a': 0.1, 'e': 0.9860878780673167}",25,0,-162.01572905797207,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
168,False,"{'a': 0.1, 'e': 0.9859211602132415}",20,0,-220.31806431231144,"{0: 7, 1: 0, 2: 9, 3: 1, 4: 3}",0
169,False,"{'a': 0.1, 'e': 0.9857534564380882}",30,0,-104.3365597115125,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
170,False,"{'a': 0.1, 'e': 0.9855847669095608}",25,0,-135.03603747571583,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
171,False,"{'a': 0.1, 'e': 0.9854150917963483}",25,0,-148.7673719701406,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
172,False,"{'a': 0.1, 'e': 0.9852444312681263}",25,0,-72.32911417976995,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
173,False,"{'a': 0.1, 'e': 0.9850727854955552}",25,0,-112.85222433654911,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
174,False,"{'a': 0.1, 'e': 0.9849001546502806}",20,0,-82.73345769540157,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
175,False,"{'a': 0.1, 'e': 0.9847265389049334}",30,0,-106.60025894106809,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
176,False,"{'a': 0.1, 'e': 0.9845519384331295}",25,0,-121.52719272670629,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
177,False,"{'a': 0.1, 'e': 0.984376353409469}",25,5,-77.8786115376129,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
178,False,"{'a': 0.1, 'e': 0.9841997840095373}",30,0,-68.20275726881806,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
179,False,"{'a': 0.1, 'e': 0.9840222304099036}",30,0,-248.8709999187313,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
180,False,"{'a': 0.1, 'e': 0.9838436927881214}",20,0,-86.92321547248486,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.9836641713227284}",30,0,-164.6999565343109,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
